"id","geom","uprn","udprn","class","parent_uprn","x_coordinate","y_coordinate","latitude","longitude","country","legal_name","sub_building_name","building_name","building_number","usrn","usrn_match_indicator","area_name","street_description","dependent_thoroughfare","thoroughfare","welsh_dependent_thoroughfare","welsh_thoroughfare","double_dependent_locality","dependent_locality","locality","welsh_dependent_locality","welsh_double_dependent_locality","town_name","administrative_area","post_town","welsh_post_town","postcode","postcode_locator","postcode_type","delivery_point_suffix","addressbase_postal","po_box_number","ward_code","parish_code","multi_occ_count","class_1","ex_polygon_id","l2_polygon_id","l4_polygon_id","target_release_date","build_status"
"f0aedf31-e2da-4fb5-81fe-ed8b7533e63f",,,"23213479",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"6d3f4835-5ace-4c49-8244-b8b154cdb124",,,"23213476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"8f194dea-24ee-4c43-b874-4facc7f81548",,,"23226746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"df3158bd-e20e-4c18-87c5-a0fbf7258bc6",,,"23225923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"f8570d23-4326-4ec5-bc1d-e3c2a4666f80",,,"23219524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"b12444af-047e-4f1e-85b6-a6b10604a8f8",,,"55090514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"c154e5a5-1a04-4e9e-8c9a-75d11336f06d",,,"23219811",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"c6497da0-29d0-4f9a-852a-75ee672b98d5",,,"23226787",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"a6fc1ef0-30bc-4623-8c94-7514958f656d",,,"23217743",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"b4c9ee87-0439-4644-ad8e-1e07c7dcbbf6",,,"23219507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"9b2feced-180e-4a21-a9a2-ce01a1e0b690",,,"23218218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"2ae9937d-264f-480e-9319-65e8d44fa6b2",,,"23221896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"932eeb37-05db-4582-bdec-46a42fa6f474",,,"23218577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"6611e082-4b98-4316-9759-6d685f15f509",,,"23221733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"be248b32-5de0-4d7c-a89b-fba2cb3b87c3",,,"23221730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"f4c437bf-005b-4ae4-af8e-a30773409417",,,"23218180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"06768142-fc1a-47bd-a034-7aa134911fa6",,,"23220690",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"bb2e4350-9a2f-406a-b919-5fceba2eaa45",,,"55090513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"de088e24-91a7-428f-b3c9-2d2a24667772",,,"23225924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"9056aa3d-e33a-41e5-a2b3-0648243ab21f",,,"23225422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"ff913c7b-7d90-461d-8a64-27e8c5648c02",,,"23226737",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"4f97361b-7a8b-41c1-9840-4476ea516c40",,,"55090515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"094649ca-8b14-4164-9e04-9177745eb694",,,"23219523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"a7a80965-f96c-4bcf-9741-a225c70e97b5",,,"23225922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"7edad094-2b23-45c1-90c7-0b4cebb6d478",,,"23219506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"a521c890-4d6a-49b3-84be-893e9480617e",,,"23221736",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
